名称,検索キー,所在地,緯度,経度,分類,世界遺産,OSM_ID
熱海サンビーチ,熱海サンビーチ 熱海市 静岡県 attraction,日本 / 静岡県 熱海市,35.09824,139.07686,monument,,N6187615422
登呂遺跡,登呂遺跡 静岡市 静岡県 archaeological_site,日本 / 静岡県 静岡市,34.95656,138.40792,heritage,,N5493194293
名古屋城,名古屋城 名古屋市 愛知県 castle,日本 / 愛知県 名古屋市,35.1844,136.9001,castle,,R19100633
ジブリパーク,ジブリパーク 長久手市 愛知県 theme_park,日本 / 愛知県 長久手市,35.17512,137.08877,activity,,N12193590953
レゴランド・ジャパン,レゴランド・ジャパン 名古屋市 愛知県 theme_park,日本 / 愛知県 名古屋市,35.05059,136.84369,activity,,W495130551
熱田神宮,熱田神宮 名古屋市 愛知県 place_of_worship,日本 / 愛知県 名古屋市,35.12543,136.90925,temple,,R8453890
トヨタ産業技術記念館,トヨタ産業技術記念館 名古屋市 愛知県 museum,日本 / 愛知県 名古屋市,35.18251,136.87652,museum,,W582752051
犬山城,犬山城 犬山市 愛知県 castle,日本 / 愛知県 犬山市,35.38833,136.93928,castle,,W234510746
名古屋港水族館,名古屋港水族館 名古屋市 愛知県 aquarium,日本 / 愛知県 名古屋市,35.09097,136.87803,activity,,W1197287138
伊勢神宮,伊勢神宮 外宮 伊勢市 三重県 place_of_worship,日本 / 三重県 伊勢市,34.48735,136.7037,temple,,W688114973
鳥羽水族館,鳥羽水族館 鳥羽市 三重県 aquarium,日本 / 三重県 鳥羽市,34.48201,136.84533,activity,,W183967154
ナガシマスパーランド,ナガシマスパーランド 桑名市 三重県 theme_park,日本 / 三重県 桑名市,35.03067,136.73334,activity,,R16171563
志摩スペイン村,志摩スペイン村 志摩市 三重県 theme_park,日本 / 三重県 志摩市,34.36054,136.84509,activity,,W183170616
おかげ横丁,おかげ横丁 豚捨 伊勢市 三重県 restaurant,日本 / 三重県 伊勢市,34.46196,136.72298,shop,,W464863059
夫婦岩,夏至祭の しののめ明り 夫婦岩 伊勢市 三重県 memorial,日本 / 三重県 伊勢市,34.50843,136.78871,heritage,,N10211095016
赤目四十八滝,赤目四十八滝 名張市 三重県 bus_stop,日本 / 三重県 名張市,34.56648,136.08413,nature,,N6611414305
ラ コリーナ,ラ コリーナ 近江八幡市 滋賀県 attraction,日本 / 滋賀県 近江八幡市,35.14985,136.0915,monument,,W533308886
彦根城,彦根城 彦根市 滋賀県 castle,日本 / 滋賀県 彦根市,35.2771,136.25172,castle,,W209262408
比叡山延暦寺,比叡山延暦寺 大津市 滋賀県 memorial,日本 / 滋賀県 大津市,35.07104,135.86558,temple,,N6713258718
白鬚神社,白鬚神社 高島市 滋賀県 place_of_worship,日本 / 滋賀県 高島市,35.27458,136.01114,temple,,W1443438835
メタセコイア並木,メタセコイア並木 高島市 滋賀県 attraction,日本 / 滋賀県 高島市,35.46682,136.03588,monument,,N4989568221
琵琶湖,琵琶湖 滋賀県 lake,日本 / 滋賀県,35.24865,136.08256,nature,,R63499
黒壁スクエア,びわ湖ツアー 黒壁スクエア案内所 長浜市 滋賀県 information,日本 / 滋賀県 長浜市,35.38055,136.26628,shop,,N5502988839
清水寺,清水寺 京都市 京都府 place_of_worship,日本 / 京都府 京都市,34.9943,135.78444,temple,yes,W336641107
伏見稲荷大社,伏見稲荷大社 京都市 京都府 viewpoint,日本 / 京都府 京都市,34.96698,135.77476,temple,,N6865347485
金閣寺,金閣寺 京都市 京都府 place_of_worship,日本 / 京都府 京都市,35.03953,135.72954,temple,,W98115917
錦市場,錦市場 にしきいちば 京都の台所 中京区 京都府,日本 / 京都府 京都市,35.00502,135.76557,shop,,W772134672
天橋立,天橋立 宮津市 京都府 memorial,日本 / 京都府 宮津市,35.577,135.1979,heritage,,N6423747555
三十三間堂,三十三間堂 京都市 京都府 place_of_worship,日本 / 京都府 京都市,34.98817,135.77178,temple,,W31842037
二条城,二条城 京都市 京都府 attraction,日本 / 京都府 京都市,35.01401,135.74854,castle,yes,W57111281
銀閣寺,銀閣寺 京都市 京都府 place_of_worship,日本 / 京都府 京都市,35.0269,135.79837,temple,,W105817561
ユニバーサル・スタジオ・ジャパン,ユニバーサル・スタジオ・ジャパン Konohana Ward 大阪府 theme_park,日本 / 大阪府 Konohana Ward,34.66564,135.43245,activity,,R5695002
大阪城,大阪城 大阪市 大阪府 castle,日本 / 大阪府 大阪市,34.68737,135.52586,castle,,W34619038
道頓堀,道頓堀 大阪市 大阪府 locality,日本 / 大阪府 大阪市,34.66903,135.50157,city,,N4029007869
海遊館,海遊館 大阪市 大阪府 aquarium,日本 / 大阪府 大阪市,34.65455,135.42892,activity,,R6994284
通天閣,通天閣 大阪市 大阪府 viewpoint,日本 / 大阪府 大阪市,34.65254,135.50631,monument,,W254319878
黒門市場,黒門市場 大阪市 大阪府 attraction,日本 / 大阪府 大阪市,34.66627,135.50704,shop,,N5149144823
万博記念公園,万博記念公園 吹田市 大阪府 park,日本 / 大阪府 吹田市,34.81202,135.53019,park,,R10576976
あべのハルカス,あべのハルカス美術館 大阪市 大阪府 museum,日本 / 大阪府 大阪市,34.64584,135.51317,museum,,N4807613479
有馬温泉,有馬温泉 神戸市 兵庫県 station,日本 / 兵庫県 神戸市,34.79096,135.24565,onsen,,N2921600660
神戸ハーバーランド,神戸ハーバーランド 神戸市 兵庫県 attraction,日本 / 兵庫県 神戸市,34.67851,135.18031,monument,,N5638327221
竹田城跡,竹田城 朝来市 兵庫県 park,日本 / 兵庫県 朝来市,35.30031,134.82929,castle,,W674728054
城崎温泉,城崎温泉 豊岡市 兵庫県 station,日本 / 兵庫県 豊岡市,35.6237,134.81366,onsen,,N8018662107
明石海峡大橋,明石海峡大橋 淡路市 兵庫県 bridge,日本 / 兵庫県 淡路市,34.61664,135.02088,monument,,W400448368
北野異人館,北野異人館 神戸市 兵庫県 bus_stop,日本 / 兵庫県 神戸市,34.70097,135.19128,other,,N6033570785
六甲山,六甲山 神戸市 兵庫県 peak,日本 / 兵庫県 神戸市,34.77799,135.26374,nature,,N1513935256
東大寺,東大寺 奈良市 奈良県 place_of_worship,日本 / 奈良県 奈良市,34.68849,135.84043,temple,yes,N12950941270
奈良公園,奈良公園 奈良市 奈良県 boundary_stone,日本 / 奈良県 奈良市,34.6824,135.82959,monument,,N5338222581
春日大社,春日大社 大和郡山市 奈良県 wayside_shrine,日本 / 奈良県 大和郡山市,34.621,135.78517,temple,,N3487946067
法隆寺,法隆寺 斑鳩町 奈良県 place_of_worship,日本 / 奈良県 斑鳩町,34.61401,135.73604,temple,yes,W43549741
吉野山,吉野山 吉野町 奈良県 attraction,日本 / 奈良県 吉野町,34.36046,135.86709,nature,,N4766588832
ならまち,ならまちまちかど博物館 奈良市 奈良県 museum,日本 / 奈良県 奈良市,34.67591,135.83193,museum,,N3203007437
室生寺,室生寺 宇陀市 奈良県 place_of_worship,日本 / 奈良県 宇陀市,34.53797,136.04062,temple,,N380420314
熊野本宮大社,熊野本宮大社 田辺市 和歌山県 artwork,日本 / 和歌山県 田辺市,33.8388,135.77462,temple,yes,N6710271457
アドベンチャーワールド,アドベンチャーワールド 白浜町 和歌山県 theme_park,日本 / 和歌山県 白浜町,33.6659,135.37243,activity,,W248451390
那智の滝,那智滝 那智勝浦町 和歌山県 viewpoint,日本 / 和歌山県 那智勝浦町,33.67383,135.88833,nature,,N2287555256
白浜温泉,白浜温泉線 白浜町 和歌山県 primary,日本 / 和歌山県 白浜町,33.67145,135.33471,onsen,,W875356133
金剛峯寺,金剛峯寺 高野町 和歌山県 place_of_worship,日本 / 和歌山県 高野町,34.21388,135.58369,temple,,W1363855538
友ヶ島,友ヶ島水道 和歌山市 和歌山県 strait,日本 / 和歌山県 和歌山市,34.27945,134.98044,nature,,N10312573512
白良浜,白良浜 白浜町 和歌山県 beach,日本 / 和歌山県 白浜町,33.68162,135.34469,nature,,W549006647
鳥取砂丘,鳥取砂丘 鳥取市 鳥取県 nature_reserve,日本 / 鳥取県 鳥取市,35.5413,134.22773,nature,,W55954342
水木しげるロード,水木しげるロード 誕生二十周年記念 境港市 鳥取県 artwork,日本 / 鳥取県 境港市,35.54609,133.22949,other,,N4166699094
三徳山三仏寺,三徳山三佛寺 三朝町 鳥取県 place_of_worship,日本 / 鳥取県 三朝町,35.39779,133.95848,temple,,W669805309
砂の美術館,砂の美術館 鳥取市 鳥取県 museum,日本 / 鳥取県 鳥取市,35.53997,134.23778,museum,,W1420969865
大山,大山 大山町 鳥取県 peak,日本 / 鳥取県 大山町,35.37119,133.54317,nature,,N1852017245
浦富海岸,浦富海岸 岩美町 鳥取県 nature_reserve,日本 / 鳥取県 岩美町,35.60709,134.33763,nature,,N6315993786
とっとり花回廊,とっとり花回廊 南部町 鳥取県 bus_stop,日本 / 鳥取県 南部町,35.3478,133.42299,other,,N5761173323
出雲大社,出雲大社 出雲市 島根県 place_of_worship,日本 / 島根県 出雲市,35.3998,132.68515,temple,,W52958212
松江城,松江城 松江市 島根県 castle,日本 / 島根県 松江市,35.47514,133.05076,castle,,W299654325
足立美術館,足立美術館 安来市 島根県 museum,日本 / 島根県 安来市,35.38084,133.19547,museum,,W1381640051
玉造温泉,玉造温泉駅 松江市 島根県 bicycle_rental,日本 / 島根県 松江市,35.43096,133.01142,onsen,,N13723132922
宍道湖,宍道湖 松江市 島根県 lake,日本 / 島根県 松江市,35.44365,132.96033,nature,,R2416328
由志園,由志園 松江市 島根県 garden,日本 / 島根県 松江市,35.49071,133.17521,park,,W1167445357
倉敷美観地区,倉敷美観地区 倉敷市 岡山県 attraction,日本 / 岡山県 倉敷市,34.59652,133.77259,monument,,W503301965
鷲羽山,鷲羽山 倉敷市 岡山県 restaurant,日本 / 岡山県 倉敷市,34.45782,133.80621,nature,,N6982142287
大原美術館,大原美術館 倉敷市 岡山県 museum,日本 / 岡山県 倉敷市,34.59603,133.77044,museum,,W616920786
蒜山高原,蒜山高原線 真庭市 岡山県 secondary,日本 / 岡山県 真庭市,35.29664,133.67534,nature,,W1255877234
吹屋ふるさと村,吹屋ふるさと村 高梁市 岡山県 attraction,日本 / 岡山県 高梁市,34.85962,133.47113,monument,,W836772975
岡山城,岡山城 岡山市 岡山県 memorial,日本 / 岡山県 岡山市,34.6648,133.93627,castle,,N4308150179
厳島神社,厳島神社 廿日市市 広島県 protected_area,日本 / 広島県 廿日市市,34.29653,132.319,temple,yes,W1306168429
千光寺,千光寺 尾道市 広島県 place_of_worship,日本 / 広島県 尾道市,34.41036,133.19868,temple,,N3399246723
大久野島,大久野島 竹原市 広島県 island,日本 / 広島県 竹原市,34.30912,132.99376,nature,,R6355057
平和記念公園,平和記念公園 広島市 広島県 bicycle_rental,日本 / 広島県 広島市,34.3911,132.45288,park,,N11433396963
三段峡,三段峡 安芸太田町 広島県 bus_stop,日本 / 広島県 安芸太田町,34.59959,132.20852,nature,,N7260170785
元乃隅神社,元乃隅神社 長門市 山口県 attraction,日本 / 山口県 長門市,34.41946,131.06273,temple,,N13157552717
角島大橋,角島大橋 下関市 山口県 artwork,日本 / 山口県 下関市,34.34782,130.89552,other,,W670701927
錦帯橋,錦帯橋料金所 岩国市 山口県 ticket,日本 / 山口県 岩国市,34.16714,132.1792,shop,,W436681117
秋芳洞,秋芳洞 美祢市 山口県 cave_entrance,日本 / 山口県 美祢市,34.22806,131.30341,nature,,N1350895116
唐戸市場,唐戸市場 下関市 山口県 marketplace,日本 / 山口県 下関市,33.95662,130.94582,shop,,W221599486
瑠璃光寺,瑠璃光寺 山口市 山口県 memorial,日本 / 山口県 山口市,34.18951,131.47312,temple,,N6814865894
鳴門の渦潮,鳴門の渦潮 鳴門市 徳島県 whirlpool,日本 / 徳島県 鳴門市,34.23663,134.65105,nature,,N6287820989
祖谷のかずら橋,祖谷の宿　かずらや 三好市 徳島県 hotel,日本 / 徳島県 三好市,33.87814,133.84001,other,,W312174944
大塚国際美術館,大塚国際美術館 鳴門市 徳島県 museum,日本 / 徳島県 鳴門市,34.23258,134.63754,museum,,R4205190
阿波おどり会館,阿波おどり会館・阿波おどりミュージアム 徳島市 徳島県 museum,日本 / 徳島県 徳島市,34.07011,134.5449,museum,,N1423661426
眉山,眉山 徳島市 徳島県 peak,日本 / 徳島県 徳島市,34.06086,134.5164,nature,,N3267281320
大歩危,大歩危峡 まんなか 三好市 徳島県 hotel,日本 / 徳島県 三好市,33.88611,133.76048,other,,W344022153
栗林公園,栗林公園 高松市 香川県 garden,日本 / 香川県 高松市,34.3295,134.04393,park,,W60252671
金刀比羅宮,金刀比羅宮 琴平町 香川県 place_of_worship,日本 / 香川県 琴平町,34.18399,133.80939,temple,,W139583694
父母ヶ浜,父母ヶ浜(ちちぶがはま)海水浴場 三豊市 香川県 beach_resort,日本 / 香川県 三豊市,34.18831,133.64683,other,,W671989025
中野うどん学校,中野うどん学校 うどん打ち体験 琴平町 香川県,日本 / 香川県 琴平町,34.18698,133.8182,activity,,N5537572222
屋島,屋島 高松市 香川県 station,日本 / 香川県 高松市,34.33658,134.10918,nature,,N8119625813
地中美術館,地中美術館 直島町 香川県 museum,日本 / 香川県 直島町,34.4478,133.98476,museum,,W401738807
エンジェルロード,エンジェルロード 土庄町 香川県 locality,日本 / 香川県 土庄町,34.47761,134.18865,city,,N2573185393
道後温泉本館,道後温泉本館 松山市 愛媛県 public_bath,日本 / 愛媛県 松山市,33.85206,132.7864,onsen,,W235751036
松山城,松山城 松山市 愛媛県 museum,日本 / 愛媛県 松山市,33.8456,132.76594,castle,,N1423739161
しまなみ海道,しまなみ海道サイクリングロード 今治市 愛媛県 path,日本 / 愛媛県 今治市,34.1921,133.07238,nature,,W391883761
内子座,内子座 内子町 愛媛県 theatre,日本 / 愛媛県 内子町,33.55144,132.65017,other,,W531197677
マイントピア別子,マイントピア別子 新居浜市 愛媛県 theme_park,日本 / 愛媛県 新居浜市,33.9005,133.30935,activity,,W661626019
石鎚山,石鎚山 西条市 愛媛県 peak,日本 / 愛媛県 西条市,33.76778,133.1151,nature,,N1851999692
桂浜,桂浜 高知市 高知県 beach,日本 / 高知県 高知市,33.49711,133.57446,nature,,W44407519
高知城,高知城歴史博物館 高知市 高知県 museum,日本 / 高知県 高知市,33.56017,133.53407,castle,,W500621920
四万十川,四万十川桜づつみ公園 四万十市 高知県 park,日本 / 高知県 四万十市,33.00254,132.90263,park,,W572436170
ひろめ市場,ひろめ市場 高知市 高知県 marketplace,日本 / 高知県 高知市,33.56045,133.53569,shop,,W1146148201
龍河洞,龍河洞 香美市 高知県 cave_entrance,日本 / 高知県 香美市,33.60314,133.74522,nature,,N1553199212
牧野植物園,牧野植物園 高知市 高知県 garden,日本 / 高知県 高知市,33.54833,133.57912,park,,W397666711
仁淀川,仁淀川 高知県 river,日本 / 高知県,33.57686,133.18421,nature,,R18564952
太宰府天満宮,太宰府天満宮 太宰府市 福岡県 place_of_worship,日本 / 福岡県 太宰府市,33.52131,130.53526,temple,,W1353165321
福岡タワー,福岡タワー 福岡市早良区 福岡県 tower,日本 / 福岡県 福岡市早良区,33.59327,130.35149,monument,,W772670439
門司港レトロ,門司港レトロハイマート展望室 北九州市 福岡県 viewpoint,日本 / 福岡県 北九州市,33.94843,130.96414,monument,,N2959854421
柳川,柳川 柳川市 福岡県 attraction,日本 / 福岡県 柳川市,33.16693,130.41637,nature,,N5543105952
海の中道海浜公園,海の中道海浜公園 福岡市 福岡県 park,日本 / 福岡県 福岡市,33.66263,130.35571,park,,R15512029
櫛田神社,櫛田神社 福岡市 福岡県 place_of_worship,日本 / 福岡県 福岡市,33.59307,130.41068,temple,,W45779975
キャナルシティ博多,キャナルシティ博多 第1駐輪場 福岡市 福岡県 bicycle_parking,日本 / 福岡県 福岡市,33.58928,130.41188,other,,N13040556464
吉野ヶ里歴史公園,吉野ヶ里歴史公園 吉野ヶ里町 佐賀県 park,日本 / 佐賀県 吉野ヶ里町,33.32709,130.38426,park,,R18919143
唐津城,唐津城 唐津市 佐賀県 castle,日本 / 佐賀県 唐津市,33.45351,129.97819,castle,,W500427895
呼子朝市,呼子の朝市 唐津市 佐賀県 seafood,日本 / 佐賀県 唐津市,33.53703,129.89509,shop,,N4500121491
武雄温泉,武雄温泉 武雄市 佐賀県 station,日本 / 佐賀県 武雄市,33.19648,130.02307,onsen,,N4837988927
祐徳稲荷神社,祐徳稲荷神社バスターミナル 鹿島市 佐賀県 bus_station,日本 / 佐賀県 鹿島市,33.0781,130.10903,temple,,W753612738
有田ポーセリンパーク,有田ポーセリンパーク 有田町 佐賀県 museum,日本 / 佐賀県 有田町,33.16464,129.90824,museum,,N1423805631
御船山楽園,御船山楽園 武雄市 佐賀県 attraction,日本 / 佐賀県 武雄市,33.18191,130.01825,monument,,W991958955
グラバー園,グラバー園 長崎市 長崎県 garden,日本 / 長崎県 長崎市,32.73337,129.86906,park,,W552140518
ハウステンボス,ハウステンボス 佐世保市 長崎県 theme_park,日本 / 長崎県 佐世保市,33.0862,129.78831,activity,,W552135649
端島,端島 長崎市 長崎県 islet,日本 / 長崎県 長崎市,32.62769,129.73826,nature,,W191502696
稲佐山,稲佐山 長崎市 長崎県 peak,日本 / 長崎県 長崎市,32.75343,129.84934,nature,,N4641487651
出島,出島 長崎市 長崎県 locality,日本 / 長崎県 長崎市,32.74342,129.87296,nature,,N8146238469
雲仙地獄,雲仙地獄 雲仙市 長崎県 map,日本 / 長崎県 雲仙市,32.74049,130.26338,other,,N12717701398
眼鏡橋,眼鏡橋 長崎市 長崎県 monument,日本 / 長崎県 長崎市,32.74729,129.87999,heritage,,N5336401732
熊本城,熊本城 熊本市 熊本県 park,日本 / 熊本県 熊本市,32.80527,130.70546,castle,,W375062710
阿蘇山,阿蘇山 南阿蘇村 熊本県 volcano,日本 / 熊本県 南阿蘇村,32.8827,131.09474,nature,,N917987193
黒川温泉,黒川温泉 南小国町 熊本県 village,日本 / 熊本県 南小国町,33.07771,131.14194,onsen,,N2753566590
草千里ヶ浜,草千里ヶ浜 南阿蘇村 熊本県 attraction,日本 / 熊本県 南阿蘇村,32.88071,131.05384,monument,,N5603129121
通潤橋,通潤橋 山都町 熊本県 attraction,日本 / 熊本県 山都町,32.6815,130.99389,monument,,N6228628173
鍋ヶ滝,鍋ヶ滝 小国町 熊本県 viewpoint,日本 / 熊本県 小国町,33.13785,131.03511,nature,,N4478978090
水前寺成趣園,水前寺成趣園 熊本市 熊本県 garden,日本 / 熊本県 熊本市,32.79074,130.7349,park,,W682657477
別府地獄めぐり,別府地獄めぐり 別府市 大分県 attraction,日本 / 大分県 別府市,33.31602,131.46909,onsen,,W1359597112
由布院,由布院 梅園 GARDEN RESORT Yufu 大分県 hotel,日本 / 大分県 Yufu,33.25881,131.36965,other,,W417347530
高崎山自然動物園,高崎山自然動物園 大分市 大分県 attraction,日本 / 大分県 大分市,33.25839,131.5308,activity,,N1423865015
うみたまご,大分マリーンパレス水族館「うみたまご」 大分市 大分県 aquarium,日本 / 大分県 大分市,33.25897,131.53564,activity,,W182406175
原尻の滝,原尻の滝 Bungo Oono 大分県 viewpoint,日本 / 大分県 Bungo Oono,32.96472,131.45138,nature,,N5719538221
九重“夢”大吊橋,九重“夢”大吊橋 九重町 大分県 footway,日本 / 大分県 九重町,33.17377,131.22662,other,,W24804905
宇佐神宮,宇佐神宮 宇佐市 大分県 memorial,日本 / 大分県 宇佐市,33.52771,131.37472,temple,,N9357063505
高千穂峡,高千穂峡 高千穂町 宮崎県 viewpoint,日本 / 宮崎県 高千穂町,32.70179,131.30094,nature,,N4563512590
青島神社,青島神社 宮崎市 宮崎県 place_of_worship,日本 / 宮崎県 宮崎市,31.80441,131.47509,temple,,W486892124
鵜戸神宮,鵜戸神宮 日南市 宮崎県 place_of_worship,日本 / 宮崎県 日南市,31.64916,131.46612,temple,,W1312406391
シーガイア,フェニックス・シーガイア・オーシャン・タワー 宮崎市 宮崎県 hotel,日本 / 宮崎県 宮崎市,31.95898,131.47038,other,,W197499847
都井岬,都井岬 串間市 宮崎県 cape,日本 / 宮崎県 串間市,31.36701,131.34177,nature,,N6337163474
天安河原,天安河原 高千穂町 宮崎県 place_of_worship,日本 / 宮崎県 高千穂町,32.73787,131.35323,temple,,N4478900293
桜島,桜島 鹿児島市 鹿児島県 volcano,日本 / 鹿児島県 鹿児島市,31.58057,130.65798,nature,,N1280125814
仙巌園,仙巌園 鹿児島市 鹿児島県 museum,日本 / 鹿児島県 鹿児島市,31.61866,130.58055,museum,,W683084837
砂むし会館 砂楽,砂むし会館 砂楽 指宿市 鹿児島県 public_bath,日本 / 鹿児島県 指宿市,31.22979,130.65191,onsen,,W1044426803
知覧特攻平和会館,知覧特攻平和会館 南九州市 鹿児島県 museum,日本 / 鹿児島県 南九州市,31.3637,130.43443,museum,,W503050025
霧島神宮,霧島神宮 霧島市 鹿児島県 memorial,日本 / 鹿児島県 霧島市,31.85572,130.8704,temple,,N13860290277
屋久島,屋久島 屋久島町 鹿児島県 ferry_terminal,日本 / 鹿児島県 屋久島町,30.43206,130.57296,nature,yes,N4591940687
曽木の滝,曽木の滝 伊佐市 鹿児島県 attraction,日本 / 鹿児島県 伊佐市,32.01138,130.5767,nature,,N6752007380
沖縄美ら海水族館,沖縄美ら海水族館 本部町 沖縄県 aquarium,日本 / 沖縄県 本部町,26.69437,127.87804,activity,,W378128429
首里城,首里城 那覇市 沖縄県 castle,日本 / 沖縄県 那覇市,26.217,127.71937,castle,yes,N4828423125
国際通り,国際通り 那覇市 沖縄県 secondary,日本 / 沖縄県 那覇市,26.2157,127.68642,shop,,W1005199589
万座毛,万座毛 恩納村 沖縄県 viewpoint,日本 / 沖縄県 恩納村,26.50501,127.85026,monument,,N2004524873
古宇利大橋,古宇利大橋 今帰仁村 沖縄県 yes,日本 / 沖縄県 今帰仁村,26.68664,128.01732,other,,W64181932
玉泉洞,玉泉洞 南城市 沖縄県 cave_entrance,日本 / 沖縄県 南城市,26.14036,127.74945,nature,,N13022247566
竹富島,竹富島 竹富町 沖縄県 camp_site,日本 / 沖縄県 竹富町,24.32972,124.08735,nature,,N9950399417
川平湾,川平湾 石垣市 沖縄県 bay,日本 / 沖縄県 石垣市,24.45007,124.14365,nature,,N12819124352
蔵王ロープウェイ,蔵王ロープウェイ 山形市 山形県 attraction,日本 / 山形県 山形市,38.16187,140.395,other,,N4662997790
富士サファリパーク,サファリパーク 裾野市 静岡県 service,日本 / 静岡県 裾野市,35.26154,138.80413,activity,,W40192674
岡山後楽園,後楽園 岡山市 岡山県 park,日本 / 岡山県 岡山市,34.66633,133.93739,park,,W82602383
尾道本通り商店街,尾道通り 尾道市 広島県 pedestrian,日本 / 広島県 尾道市,34.41084,133.20373,shop,,W123166756
萩城下町,萩城跡外堀北の総門と周辺の整備 萩市 山口県 board,日本 / 山口県 萩市,34.41471,131.3918,other,,N6441846381
豊洲市場,豊洲市場(7街区) 江東区 東京都 marketplace,日本 / 東京都 江東区,35.64215,139.78272,shop,,W436183396
高尾山,高尾山 東京都 peak,日本 / 東京都,35.62523,139.24369,nature,,N675449030
浅草寺,金龍山浅草寺 台東区 東京都 place_of_worship,日本 / 東京都 台東区,35.7134,139.79553,temple,,W173154847
金沢おでん,かなざわおでん 郷土料理 金沢市 石川県,日本 / 石川県 金沢市,36.5613,136.6562,gourmet,,
あしかがフラワーパーク 大藤,おおふじ イルミネーション 足利市 栃木県,日本 / 栃木県 足利市,36.31439,139.5205,park,,
